candidate,loss,abs. diff. net power IO
[0 0 0 0],6986338.818713014,627.8000000000001
[0 0 0 1],7712161.154242949,694.8000000000001
[0 0 0 2],8437983.489772882,761.8000000000001
[0 0 0 3],9163805.825302819,828.8000000000002
[0 0 1 0],3636782.5498696174,327.8
[0 0 1 1],4362604.885399552,394.8
[0 0 1 2],5088427.220929487,461.8
[0 0 1 3],5814249.556459423,528.8000000000002
[0 0 2 0],288220.2610937684,27.80000000000008
[0 0 2 1],1013881.901857706,94.80000000000008
[0 0 2 2],1739546.1050786884,161.80000000000007
[0 0 2 3],2465231.5510813,228.80000000000018
[0 0 3 0],3062329.987817173,272.2
[0 0 3 1],2336507.6522872387,205.2
[0 0 3 2],1610685.3167573041,138.2
[0 0 3 3],884954.6650481961,71.19999999999986
[0 1 0 0],6997028.186429661,628.8000000000001
[0 1 0 1],7722850.521959595,695.8000000000001
[0 1 0 2],8448672.85748953,762.8000000000001
[0 1 0 3],9174495.193019465,829.8000000000002
[0 1 1 0],3647471.917586264,328.8
[0 1 1 1],4373294.253116199,395.8
[0 1 1 2],5099116.588646133,462.8
[0 1 1 3],5824938.924176069,529.8000000000002
[0 1 2 0],298907.5221877476,28.80000000000008
[0 1 2 1],1024569.2549843465,95.80000000000008
[0 1 2 2],1750233.4582053288,162.80000000000007
[0 1 2 3],2475919.4017822845,229.80000000000018
[0 1 3 0],3051640.620100526,271.2
[0 1 3 1],2325818.284570592,204.2
[0 1 3 2],1599995.9490406576,137.2
[0 1 3 3],874268.2453926171,70.19999999999986
[0 2 0 0],7007717.5541463075,629.8000000000001
[0 2 0 1],7733539.889676241,696.8000000000001
[0 2 0 2],8459362.225206176,763.8000000000001
[0 2 0 3],9185184.56073611,830.8000000000002
[0 2 1 0],3658161.285302911,329.8
[0 2 1 1],4383983.620832846,396.8
[0 2 1 2],5109805.95636278,463.8
[0 2 1 3],5835628.291892716,530.8000000000002
[0 2 2 0],309594.78328172676,29.80000000000008
[0 2 2 1],1035256.6081109869,96.80000000000008
[0 2 2 2],1760920.8113319692,163.80000000000007
[0 2 2 3],2486607.252483269,230.80000000000018
[0 2 3 0],3040951.2523838794,270.2
[0 2 3 1],2315128.9168539452,203.2
[0 2 3 2],1589306.5813240109,136.2
[0 2 3 3],863581.8257370379,69.19999999999986
[0 3 0 0],7018406.921862954,630.8000000000001
[0 3 0 1],7744229.257392888,697.8000000000001
[0 3 0 2],8470051.592922822,764.8000000000001
[0 3 0 3],9195873.928452758,831.8000000000002
[0 3 1 0],3668850.6530195577,330.8
[0 3 1 1],4394672.988549492,397.8
[0 3 1 2],5120495.324079426,464.8
[0 3 1 3],5846317.6596093625,531.8000000000002
[0 3 2 0],320282.04437570594,30.80000000000008
[0 3 2 1],1045943.9612376272,97.80000000000008
[0 3 2 2],1771608.1644586094,164.80000000000007
[0 3 2 3],2497295.103184254,231.80000000000018
[0 3 3 0],3030261.884667233,269.2
[0 3 3 1],2304439.5491372985,202.2
[0 3 3 2],1578617.2136073643,135.2
[0 3 3 3],852895.4060814589,68.19999999999986
[1 0 0 0],6247338.818713014,553.9000000000001
[1 0 0 1],6973161.154242949,620.9000000000001
[1 0 0 2],7698983.489772882,687.9000000000001
[1 0 0 3],8424805.825302817,754.9000000000001
[1 0 1 0],2897782.5498696174,253.89999999999995
[1 0 1 1],3623604.885399551,320.8999999999999
[1 0 1 2],4349427.220929486,387.8999999999999
[1 0 1 3],5075249.556459421,454.90000000000003
[1 0 2 0],471220.2610937671,46.09999999999995
[1 0 2 1],274881.90185770567,20.900000000000045
[1 0 2 2],1000546.1050786881,87.90000000000005
[1 0 2 3],1726231.551081299,154.9000000000001
[1 0 3 0],3801329.987817173,346.1
[1 0 3 1],3075507.6522872387,279.1
[1 0 3 2],2349685.316757304,212.10000000000002
[1 0 3 3],1623954.6650481974,145.09999999999997
[1 1 0 0],6258028.186429661,554.9000000000001
[1 1 0 1],6983850.521959595,621.9000000000001
[1 1 0 2],7709672.857489529,688.9000000000001
[1 1 0 3],8435495.193019465,755.9000000000001
[1 1 1 0],2908471.9175862637,254.89999999999995
[1 1 1 1],3634294.253116198,321.8999999999999
[1 1 1 2],4360116.5886461325,388.8999999999999
[1 1 1 3],5085938.924176067,455.90000000000003
[1 1 2 0],461907.5221877463,45.09999999999995
[1 1 2 1],285569.25498434604,21.900000000000045
[1 1 2 2],1011233.4582053286,88.90000000000005
[1 1 2 3],1736919.4017822838,155.9000000000001
[1 1 3 0],3790640.620100526,345.1
[1 1 3 1],3064818.284570592,278.1
[1 1 3 2],2338995.9490406574,211.10000000000002
[1 1 3 3],1613268.2453926182,144.09999999999997
[1 2 0 0],6268717.5541463075,555.9000000000001
[1 2 0 1],6994539.889676241,622.9000000000001
[1 2 0 2],7720362.225206176,689.9000000000001
[1 2 0 3],8446184.56073611,756.9000000000001
[1 2 1 0],2919161.2853029105,255.89999999999995
[1 2 1 1],3644983.6208328446,322.8999999999999
[1 2 1 2],4370805.956362778,389.8999999999999
[1 2 1 3],5096628.291892714,456.90000000000003
[1 2 2 0],452594.7832817255,44.09999999999995
[1 2 2 1],296256.6081109865,22.900000000000045
[1 2 2 2],1021920.8113319689,89.90000000000005
[1 2 2 3],1747607.2524832685,156.9000000000001
[1 2 3 0],3779951.2523838794,344.1
[1 2 3 1],3054128.9168539452,277.1
[1 2 3 2],2328306.581324011,210.10000000000002
[1 2 3 3],1602581.825737039,143.09999999999997
[1 3 0 0],6279406.921862954,556.9000000000001
[1 3 0 1],7005229.257392888,623.9000000000001
[1 3 0 2],7731051.592922823,690.9000000000001
[1 3 0 3],8456873.928452756,757.9000000000001
[1 3 1 0],2929850.6530195577,256.9
[1 3 1 1],3655672.988549491,323.8999999999999
[1 3 1 2],4381495.324079425,390.8999999999999
[1 3 1 3],5107317.659609361,457.90000000000003
[1 3 2 0],443282.04437570466,43.09999999999995
[1 3 2 1],306943.96123762685,23.900000000000045
[1 3 2 2],1032608.1644586093,90.90000000000005
[1 3 2 3],1758295.103184253,157.9000000000001
[1 3 3 0],3769261.884667233,343.1
[1 3 3 1],3043439.5491372985,276.1
[1 3 3 2],2317617.2136073643,209.10000000000002
[1 3 3 3],1591895.40608146,142.09999999999997
[2 0 0 0],5508338.818713013,480.0
[2 0 0 1],6234161.154242948,547.0
[2 0 0 2],6959983.489772881,614.0
[2 0 0 3],7685805.825302817,681.0000000000001
[2 0 1 0],2158782.5498696174,179.99999999999997
[2 0 1 1],2884604.8853995516,246.99999999999997
[2 0 1 2],3610427.2209294857,313.99999999999994
[2 0 1 3],4336249.556459421,381.00000000000006
[2 0 2 0],1210220.261093767,119.99999999999993
[2 0 2 1],595881.9018577045,52.99999999999993
[2 0 2 2],261546.1050786883,14.000000000000068
[2 0 2 3],987231.5510812994,81.00000000000013
[2 0 3 0],4540329.987817173,420.0
[2 0 3 1],3814507.6522872387,353.0
[2 0 3 2],3088685.316757304,286.0
[2 0 3 3],2362954.665048197,218.99999999999994
[2 1 0 0],5519028.18642966,481.0
[2 1 0 1],6244850.5219595935,548.0
[2 1 0 2],6970672.857489528,615.0
[2 1 0 3],7696495.193019464,682.0000000000001
[2 1 1 0],2169471.917586264,180.99999999999997
[2 1 1 1],2895294.2531161983,247.99999999999997
[2 1 1 2],3621116.5886461325,314.99999999999994
[2 1 1 3],4346938.924176068,382.00000000000006
[2 1 2 0],1200907.5221877461,118.99999999999993
[2 1 2 1],586569.2549843449,51.99999999999993
[2 1 2 2],272233.4582053287,15.000000000000068
[2 1 2 3],997919.401782284,82.00000000000013
[2 1 3 0],4529640.620100526,419.0
[2 1 3 1],3803818.284570592,352.0
[2 1 3 2],3077995.9490406574,285.0
[2 1 3 3],2352268.245392618,217.99999999999994
[2 2 0 0],5529717.554146307,482.0
[2 2 0 1],6255539.889676241,549.0
[2 2 0 2],6981362.225206175,616.0
[2 2 0 3],7707184.56073611,683.0000000000001
[2 2 1 0],2180161.285302911,181.99999999999997
[2 2 1 1],2905983.6208328446,248.99999999999997
[2 2 1 2],3631805.9563627793,315.99999999999994
[2 2 1 3],4357628.291892715,383.00000000000006
[2 2 2 0],1191594.7832817254,117.99999999999993
[2 2 2 1],577256.6081109854,50.99999999999993
[2 2 2 2],282920.8113319691,16.000000000000068
[2 2 2 3],1008607.2524832687,83.00000000000013
[2 2 3 0],4518951.252383879,418.0
[2 2 3 1],3793128.9168539452,351.0
[2 2 3 2],3067306.581324011,284.0
[2 2 3 3],2341581.825737039,216.99999999999994
[2 3 0 0],5540406.921862952,483.0
[2 3 0 1],6266229.257392887,550.0
[2 3 0 2],6992051.592922822,617.0
[2 3 0 3],7717873.928452757,684.0000000000001
[2 3 1 0],2190850.6530195572,182.99999999999997
[2 3 1 1],2916672.9885494914,249.99999999999997
[2 3 1 2],3642495.324079426,316.99999999999994
[2 3 1 3],4368317.659609362,384.00000000000006
[2 3 2 0],1182282.0443757044,116.99999999999993
[2 3 2 1],567943.9612376257,49.99999999999993
[2 3 2 2],293608.1644586095,17.000000000000068
[2 3 2 3],1019295.1031842534,84.00000000000013
[2 3 3 0],4508261.884667233,417.0
[2 3 3 1],3782439.5491372985,350.0
[2 3 3 2],3056617.2136073643,283.0
[2 3 3 3],2330895.40608146,215.99999999999994
[3 0 0 0],4769338.818713012,406.09999999999997
[3 0 0 1],5495161.154242948,473.09999999999997
[3 0 0 2],6220983.489772881,540.1
[3 0 0 3],6946805.825302817,607.1000000000001
[3 0 1 0],1419782.5498696172,106.09999999999995
[3 0 1 1],2145604.885399551,173.09999999999994
[3 0 1 2],2871427.2209294857,240.09999999999994
[3 0 1 3],3597249.5564594204,307.09999999999997
[3 0 2 0],1949220.2610937674,193.89999999999998
[3 0 2 1],1334881.9018577049,126.89999999999996
[3 0 2 2],720546.1050786873,59.89999999999996
[3 0 2 3],248231.55108129908,7.100000000000091
[3 0 3 0],5279329.987817173,493.90000000000003
[3 0 3 1],4553507.652287238,426.90000000000003
[3 0 3 2],3827685.3167573046,359.90000000000003
[3 0 3 3],3101954.6650481974,292.9
[3 1 0 0],4780028.186429659,407.09999999999997
[3 1 0 1],5505850.5219595935,474.09999999999997
[3 1 0 2],6231672.857489528,541.1
