,loss (temperature=1),loss (temperature=11),loss (temperature=21),loss (temperature=31),loss (temperature=41),loss (temperature=51),loss (temperature=61),loss (temperature=71),data path
0,39500.4797302853,10353.583895099438,936.6420679407216,19022.064933976337,6842.746504481712,308.7105745472172,15302.601345944831,805.4261546932448,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
1,1313.1244958180089,7598.07013037837,128.47107630807517,13319.69795012285,12600.51211700254,292.89067753559084,536.5128367643065,508.616059766662,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
2,32064.334738637284,21507.138816064096,29808.29167989137,2385.896274348179,3813.539548376405,1947.4344798733664,2565.16147478652,591.1848983076081,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
3,12634.7565894073,3641.5168611481695,20133.77262057156,3641.337101407375,502.2574938360722,707.8336693558904,88.17565751848753,596.7893662345712,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
4,9536.099621892185,275.3275871825942,297.5962269018559,7187.148508200407,5384.378206700406,9692.521102190054,1552.0424571360322,4420.309007501243,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
5,10922.958881088223,21975.0556464583,1825.7998709553333,327.0696566028028,12260.430373491365,336.1649757987681,456.48769543165633,317.8499368151031,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
6,4572.785066086255,13121.06229226887,847.6460387286686,75.92532045641896,240.9938903993922,189.7470074696592,3724.427093250456,15043.613410015463,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
7,32163.862899225776,6656.247393804872,3976.658997069557,3198.585591533118,4832.981146209538,1187.1302298111018,4392.146315921617,15264.260678800503,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
8,26367.194891136733,7768.991674428378,11018.367834733896,4683.252163899205,8115.828093136309,2697.8243882240317,935.7425953147322,108.25002234353651,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
9,1921.05744073332,23.482432267533973,347.2797646968559,8224.617317476435,3520.3788324575844,3520.25845212477,116.62343296496712,358.23781928487983,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
10,13577.611583916656,12080.850508573138,8046.830230901104,56.84472692724627,137.39891561523865,541.3639469798679,451.3969711907304,4279.856054601547,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
11,7379.083926433148,10642.361531713204,6111.628899715588,2674.073015084338,314.9752211949339,7085.499874584815,185.7298913027858,607.4180141533757,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
12,24380.45478492369,27388.56276297112,1889.0009922567183,350.01409216942034,12289.892379245635,4719.443802825428,14521.757557470974,5717.461390545562,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
